Loan #,Loan Type,Asset,Balance,Rate,startDate,endDate,Asset Value
1,Car,Mercedes,17920.01976,0.191606412,01/10/21,01/09/26,14495.99142
2,Car,Civic,19805.4362,0.164483663,01/10/21,01/08/26,16243.78906
3,Car,Civic,26282.12875,0.166528822,01/10/21,01/12/26,22719.76774
4,Car,Civic,26146.79926,0.160032105,01/10/21,01/04/27,21997.67464
5,Car,Civic,24189.63906,0.18721505,01/10/21,01/04/26,20844.07908
6,Car,Civic,19860.29769,0.195276477,01/10/21,01/09/27,16576.82669
7,Car,AlfaRomeo,17063.57164,0.151613385,01/10/21,01/11/26,13612.84896
8,Car,Mercedes,18161.99245,0.172468944,01/10/21,01/01/27,14800.91746
9,Car,Lamborghini,15228.7066,0.169803284,01/10/21,01/12/26,12903.45599
10,Car,Civic,15730.94999,0.178782932,01/10/21,01/06/27,14016.69718
11,Car,Lamborghini,17264.99605,0.144855398,01/10/21,01/07/26,13355.36041
12,Car,Mercedes,17048.43674,0.168226243,01/10/21,01/08/26,14937.03852
13,Car,Civic,15500.96838,0.159701339,01/10/21,01/06/26,11767.28771
14,Car,AlfaRomeo,22906.8692,0.135940999,01/10/21,01/10/26,18649.00978
15,Car,Civic,18537.7025,0.178405772,01/10/21,01/12/26,15960.79932
16,Car,AlfaRomeo,24604.10108,0.139494419,01/10/21,01/03/27,21026.2254
17,Car,Lamborghini,28182.11461,0.160889673,01/10/21,01/08/27,22118.81487
18,Car,Civic,17629.82436,0.192402979,01/10/21,01/12/26,14659.72365
19,Car,Civic,16412.82729,0.159046157,01/10/21,01/08/27,13182.67885
20,Car,Lamborghini,23132.65804,0.138458633,01/10/21,01/09/27,19469.60865
21,Car,Civic,17567.52233,0.166766793,01/10/21,01/04/26,15399.3133
22,Car,Lamborghini,19838.77473,0.148273595,01/10/21,01/11/26,15433.26337
23,Car,Civic,11299.89492,0.146337191,01/10/21,01/07/26,9089.946569
24,Car,Mercedes,17515.53516,0.152946689,01/10/21,01/03/27,14644.34203
25,Car,Civic,16766.92345,0.179820779,01/10/21,01/11/26,12887.71765
26,Car,AlfaRomeo,20806.79829,0.151180726,01/10/21,01/08/26,17857.37665
27,Car,AlfaRomeo,16931.76315,0.130800117,01/10/21,01/11/26,15003.96999
28,Car,Lamborghini,22998.01589,0.199922023,01/10/21,01/06/27,18752.59063
29,Car,Civic,24119.91188,0.195671275,01/10/21,01/03/27,21127.11175
30,Car,Mercedes,17527.92474,0.164390339,01/10/21,01/08/26,15493.11802
31,Car,AlfaRomeo,23173.13978,0.154301489,01/10/21,01/11/26,18104.92963
